,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
0,Harvard University,history,28428,1.08,2011,1st,,"$28,428",,,,history
1,Boston University,graduate division of religious studies,20000,0.76,2011,1st,,,"$20,000",,,graduate division of religious studies
2,Boston University,management,34000,1.29,2012,1st,,,"$27,000","$7,500",$500,management
3,Boston University,economics,23000,0.87,2012,5th,,,"$19,000","$4,000",,economics
4,MIT,materials science and engineering,30413,1.19,2013,3rd,,"$30,413",,,,materials science and engineering
5,Northeastern University,biology,30900,1.17,2013,,,"$30,900",,,,biology
6,Harvard University,epidemiology,22000,0.84,2013,1st,"NIH Training grant (T32),<br>funding also includes tuition and health insurance.<br>Can earn additional <span class=""truncated""> money as a TA,<br>or working on (non-training grant-related)<br>research or consulting projects.<br></span>","$22,000",,,,epidemiology
7,MIT,math,33000,1.29,2013,6th and up,,"$33,000",,,,math
8,Boston University,management,30100,1.14,2013,2nd,,,"$27,000","$3,600",$500,management
9,Northeastern University,applied psychology,16000,0.61,2014,1st,,,"$16,000",,,applied psychology
10,Boston University,biology,30795,1.17,2014,1st,,"$30,795",,,,biology
11,Boston University,anthropology,20000,0.76,2014,,,,"$20,000",,,anthropology
12,Boston University,religious studies,21000,0.8,2014,3rd,,,"$21,000",,,religious studies
13,Tufts University,human development,18475,0.72,2014,4th,,,"$18,500",,$25,human development
14,Boston University,biochemistry,32500,1.23,2014,4th,,"$32,500",,,,biochemistry
15,Tufts University,biology,29450,1.15,2014,5th,,"$29,500",,,$50,biology
16,Boston University,chemistry,27000,1.03,2014,4th,,"$27,000",,,,chemistry
17,Boston University,physics,30550,1.16,2014,2nd,Health Insurance Covered,"$30,750",,,$200,physics
18,MIT,physics,33800,1.32,2014,5th,,"$34,000",,,$200,physics
19,MIT,microbiology,33712,1.32,2014,,,"$34,000",,,$288,microbiology
20,MIT,electrical engineering and computer science,32952,1.29,2014,6th and up,,"$33,252",,,$300,electrical engineering and computer science
21,Harvard University,biological and biomedical sciences,34608,1.32,2014,4th,"All PhD students in the Biological and Biomedical Sciences (BBS)<br>PhD program get the same stipend <span class=""truncated""> regardless of what year they are currently in (1st-6th+)</span>","$34,608",,,,biological and biomedical sciences
22,Harvard University,chemistry and chemical biology,33204,1.26,2014,,,"$33,204",,,,chemistry and chemical biology
23,Harvard University,division of medical sciences/ biological and biomedical sciences,34608,1.32,2014,3rd,,"$34,608",,,,division of medical sciences/ biological and biomedical sciences
24,Harvard University,bbs,34583,1.31,2014,3rd,,"$34,608",,,$25,bbs
25,Harvard University,bbs,33500,1.27,2014,3rd,,"$33,500",,,,bbs
26,MIT,biology,34000,1.33,2014,6th and up,"Increases $1000 each year (on-campus housing increases by about $1200 each year).<br>TAs used to get a <span class=""truncated""> bonus but not anymore.<br></span>","$34,000",,,,biology
27,Tufts University,molecular microbiology,31340,1.23,2014,1st,,"$31,500",,,$160,molecular microbiology
28,Boston University,religious studies,22000,0.77,2015,3rd,,,"$22,000",,,religious studies
29,Boston University,graduate division of religious studies,20000,0.7,2015,5th,"Current pay (5th year)<br>is not part of the fellowship package awarded upon admission,<br>which provided <span class=""truncated""> 4 years of funding.<br>It comes from an RA position (coincidentally from my own department)<br>that was sought out.</span>",,"$20,000",,,graduate division of religious studies
30,UMass Boston,chemistry,23000,0.8,2015,1st,,,"$17,000","$8,000","$2,000",chemistry
31,Harvard University,chemical biology,35652,1.24,2015,1st,,"$35,652",,,,chemical biology
32,Tufts University,child study and human development,21000,0.75,2015,2nd,,,"$21,000",,,child study and human development
33,Boston University,history,20150,0.7,2015,1st,"First year is fellowship - not allowed to have any outside paid work for 9 mos.<br>Second and <span class=""truncated""> subsequent years are TA/RA positions.<br></span>",,"$20,500",,$350,history
34,Boston University,english,20000,0.7,2015,1st,,"$20,000",,,,english
35,Northeastern University,applied psychology,24000,0.84,2015,2nd,,"$24,000",,,,applied psychology
36,Boston University,mechanical engineering,33000,1.15,2015,4th,,"$33,000",,,,mechanical engineering
37,MIT,electrical engineering and computer science,34184,1.22,2015,1st,,"$34,488",,,$304,electrical engineering and computer science
38,MIT,31512,31512,1.13,2015,1st,,"$31,512",,,,31512
39,MIT,nuclear science and engineering,31512,1.13,2015,1st,,"$31,512",,,,nuclear science and engineering
40,MIT,operations research center,34448,1.23,2015,1st,,"$34,448",,,,operations research center
41,Boston University,neuroscience,31000,1.08,2015,1st,Tuition waived,"$31,000",,,,neuroscience
42,Tufts University,biomedical engineering,32000,1.15,2015,1st,,"$32,000",,,,biomedical engineering
43,Harvard University,art history,34000,1.19,2016,1st,,,"$34,000",,,art history
44,Tufts University,mammalian genetics,32880,1.18,2016,1st,Fee is only for first year.,"$33,000",,,$120,mammalian genetics
45,Boston University,spanish,20000,0.7,2016,1st,,,"$20,000",,,spanish
46,Boston University,spanish,20000,0.7,2016,1st,,,"$20,000",,,spanish
47,Boston University,spanish,20000,0.7,2016,1st,,,"$20,000",,,spanish
48,Tufts University,biology,30892,1.11,2016,3rd,"We get paid in two lump sums in June for the entire summer,<br>so paycheck amount varies but monthly <span class=""truncated""> pay doesn&#39;t.</span>","$30,922",,,$30,biology
49,Tufts University,biology,30000,1.07,2016,,,"$30,000",,,,biology
50,MIT,materials science and engineering,35420,1.27,2016,5th,,"$35,700",,,$280,materials science and engineering
51,MIT,chemical engineering,40300,1.44,2016,1st,,"$40,300",,,,chemical engineering
52,Harvard University,school of engineering and applied sciences (seas),35200,1.23,2016,2nd,3.5% rise,"$35,200",,,,school of engineering and applied sciences (seas)
53,Harvard University,biostatistics,33000,1.15,2016,4th,,"$33,000",,,,biostatistics
54,MIT,chemistry,37000,1.32,2016,1st,,"$37,000",,,,chemistry
55,Tufts University,theatre and performance studies,21000,0.75,2016,1st,"All Grad students in Theatre and Performance studies receive five years of  tuition remission,<br>health <span class=""truncated""> insurance,<br>and fellowships/TAships at $21,000 per year</span>","$21,000",,,,theatre and performance studies
56,Boston University,earth sciences,32250,1.13,2016,1st,,"$32,250",,,,earth sciences
57,Tufts University,mechanical eng,28440,1.02,2016,1st,,"$28,440",,,,mechanical eng
58,MIT,chemical engineering,37900,1.36,2016,4th,,"$38,220",,,$320,chemical engineering
59,Boston University,bme,32500,1.13,2016,1st,,"$32,500",,,,bme
60,MIT,mechanical engineering,32460,1.16,2016,1st,,"$32,616",,,$156,mechanical engineering
61,MIT,mechanical engineering,37000,1.32,2016,3rd,,,"$33,000","$7,000","$3,000",mechanical engineering
62,Northeastern University,computer science,31640,1.1,2016,1st,,"$31,920",,,$280,computer science
63,Harvard University,seas,37000,1.29,2016,1st,,"$37,000",,,,seas
64,MIT,education,50000,1.79,2016,5th,,"$50,000",,,,education
65,Boston University,,32250,1.13,2016,,,"$32,250",,,,
66,Boston University,,32250,1.13,2016,1st,,"$32,250",,,,
67,Harvard University,economics,30000,1.05,2016,1st,,"$30,000",,,,economics
68,Tufts University,biology,31500,1.13,2016,1st,,"$32,000",,,$500,biology
69,Tufts University,physics,29500,1.06,2016,2nd,,"$29,500",,,,physics
70,Tufts University,biology,31507,1.13,2016,4th,Paid 12 month salary but summer pay comes in two lump sums.,"$31,507",,,,biology
71,Boston University,biology,30000,1.05,2016,1st,,"$30,000",,,,biology
72,Harvard University,finance,41000,1.43,2016,1st,,"$41,000",,,,finance
73,Harvard University,,37200,1.3,2016,2nd,,"$37,200",,,,
74,Boston University,theology,22412,0.78,2016,,,,"$22,660",,$248,theology
75,Harvard University,division of medical sciences,37000,1.29,2016,2nd,,"$37,000",,,,division of medical sciences
76,MIT,,36000,1.29,2016,1st,,"$39,000",,,"$3,000",
77,Harvard University,school of engineering and applied sciences,30550,1.07,2016,1st,,"$33,000",,,"$2,450",school of engineering and applied sciences
78,Boston University,earth and environment,30750,1.07,2016,4th,All fees covered.<br>Includes basic health insurance.,"$30,750",,,,earth and environment
79,MIT,civil environmental engineering (cee),43700,1.56,2016,1st,No health insurance or other benefits.,"$43,700",,,,civil environmental engineering (cee)
80,Harvard University,physics,29800,1.04,2016,,,"$29,800",,,,physics
81,Tufts University,physics,24200,0.87,2016,,,"$24,200",,,,physics
82,Northeastern University,physics,23190,0.81,2016,,,"$23,190",,,,physics
83,MIT,,33700,1.21,2016,,"Excluding health insurance,<br>$1400 paid for by school","$34,000",,,$300,
84,Boston University,program in biomedical sciences (pibs),34000,1.19,2016,,,"$34,000",,,,program in biomedical sciences (pibs)
85,Northeastern University,sociology,25750,0.9,2016,2nd,,,"$24,000","$2,000",$250,sociology
86,MIT,operations resesarch,24480,0.88,2016,1st,,,"$24,480",,,operations resesarch
87,UMass Boston,biology,22000,0.77,2016,1st,,,"$22,000",,,biology
88,MIT,meche,33973,1.22,2016,5th,,"$33,973",,,,meche
89,Tufts University,english,20000,0.72,2016,,,"$20,000",,,,english
90,Harvard University,seas,36000,1.26,2016,1st,,"$36,000",,,,seas
91,Boston University,"ecology, evolutionary biology, and behavior",26875,0.94,2016,1st,,"$26,875",,,,"ecology, evolutionary biology, and behavior"
92,Northeastern University,history,33744,1.18,2016,1st,,"$33,744",,,,history
93,Harvard University,bioengineering,27000,0.94,2016,1st,,"$32,000",,,"$5,000",bioengineering
94,Boston University,sociology,21500,,2016,2nd,,,"$21,500",,,sociology
95,Northeastern University,english,20000,0.7,2016,,,,"$20,000",,,english
96,Tufts University,mechanical engineering,23500,0.84,2016,5th,,"$24,000",,,$500,mechanical engineering
97,Boston University,theology,19352,0.68,2016,1st,,,"$21,000",,"$1,648",theology
98,Harvard University,education,32750,1.14,2016,1st,"Presidential Scholarship,<br>$27,500 for the academic year + guaranteed summer research stipend of <span class=""truncated""> $5,250.<br></span>",,"$27,500","$5,250",,education
99,Harvard University,african american studies,33120,1.16,2016,1st,"full funding,<br>health insurance (summer stipend included in this total).<br>funding for 6 years","$33,120",,,,african american studies
100,MIT,philosophy,28740,1.03,2016,1st,+ health insurance.,"$28,740",,,,philosophy
101,Harvard University,earth and planetary science,35232,1.23,2016,1st,"plus $2,500 start up money,<br>and stipend includes waiver for health insurance.","$35,232",,,,earth and planetary science
102,MIT,political science,30668,1.1,2016,1st,,,"$25,668","$5,000",,political science
103,Harvard University,biological and biomedical sciences,36670,1.28,2016,2nd,,"$36,720",,,$50,biological and biomedical sciences
104,Boston University,economics,21500,0.75,2016,1st,,,"$21,500",,,economics
105,MIT,brain and cognitive science,34500,1.24,2016,1st,,"$34,500",,,,brain and cognitive science
106,Northeastern University,biology,31500,1.1,2016,5th,"Summer funding is dependent on the lab.<br>Some only get paid for 10 months.<br>I have a summer RA so get <span class=""truncated""> paid for the full 12 months.<br></span>","$32,000",,,$500,biology
107,Boston University,earth sciences,31380,1.1,2016,1st,,"$31,500",,,$120,earth sciences
108,Boston University,electrical and computer engineering,31980,1.12,2016,1st,An additional relocation fee of 3000$ was given in the first year.,"$32,000",,,$20,electrical and computer engineering
109,Harvard University,seas,35000,1.22,2016,6th and up,,"$35,000",,,,seas
110,Boston University,new england and american studies program,20500,0.72,2016,,,,"$20,500",,,new england and american studies program
111,Harvard University,english,32960,1.15,2016,,,,"$27,600","$5,360",,english
112,Harvard University,biological and biomedical sciences,36720,1.28,2016,2nd,,"$36,720",,,,biological and biomedical sciences
113,Tufts University,mechanical engineering,24000,0.86,2016,1st,,"$24,000",,,,mechanical engineering
114,Harvard University,neurobiology,36720,1.28,2016,3rd,,"$36,720",,,,neurobiology
115,UMass Boston,school of global inclusion and social development,16888,0.59,2016,1st,,,"$16,888",,,school of global inclusion and social development
116,Harvard University,department of medical sciences,30550,1.07,2016,6th and up,,"$30,600",,,$50,department of medical sciences
117,Tufts University,chemistry,29500,1.06,2016,1st,,"$29,500",,,,chemistry
118,Boston University,gms pibs,31000,1.08,2016,2nd,,"$31,000",,,,gms pibs
119,Tufts University,engineering,29000,1.04,2016,1st,,,"$25,000","$4,000",,engineering
120,MIT,hasts,25866,0.93,2016,1st,,,"$25,866",,,hasts
121,Boston University,biology,31000,1.08,2016,6th and up,,"$31,000",,,,biology
122,Northeastern University,bioengineering,29750,1.04,2016,4th,"Our contracts are semester-by-semester too,<br>so we don&#39;t always know if we&#39;re getting paid the next <span class=""truncated""> semester or not.<br> Sometimes people are fine,<br>sometimes they get screwed.<br></span>","$30,000",,,$250,bioengineering
123,MIT,chemical engineering,37020,1.33,2016,3rd,,"$37,020",,,,chemical engineering
124,Harvard University,biological sciences in public health phd,36720,1.28,2016,1st,PhD,"$36,720",,,,biological sciences in public health phd
125,MIT,biology,36000,1.29,2016,2nd,,"$36,000",,,,biology
126,Boston University,bioinformatics,32250,1.13,2016,,,"$32,250",,,,bioinformatics
127,Boston University,pharmacology,32500,1.13,2016,1st,,"$32,500",,,,pharmacology
128,Harvard University,dms,38200,1.33,2016,1st,Herchel Smith Fellowship,"$38,200",,,,dms
129,Boston University,religion,21000,0.73,2016,5th,,,"$21,000",,,religion
130,MIT,chemistry,35760,1.28,2016,1st,,"$35,760",,,,chemistry
131,Harvard University,art history,33120,1.16,2016,,no teaching until 3rd year,"$33,120",,,,art history
132,Boston University,sociology,21000,0.73,2016,1st,,,"$21,000",,,sociology
133,Harvard University,biological and biomedical sciences,35850,1.25,2016,,,"$36,000",,,$150,biological and biomedical sciences
134,MIT,linguistics,28740,1.03,2016,1st,,,"$25,866","$2,874",,linguistics
135,MIT,"history/anthro/science, technology and society",34368,1.23,2017,1st,"We are funded for 2 out 3 summer months; student-workers are left to find their own funding for the <span class=""truncated""> 3rd month.<br>*Usually* everyone finds a fellowship,<br>RAship,<br>or job,<br>but not always.<br>

Pay for 1st year is a university fellowship.<br>For all other years,<br>it is a combination of TAships and fellowships.<br>We are guaranteed 5 years funding.<br>Many outside fellowships we win count against stipend funds (excepting those for specifics like research travel).<br>Given Boston&#39;s high cost of living and my student loan payments from undergrad,<br>I often end up relying on a credit line between paydays.<br></span>",,"$28,242","$6,276",$150,"history/anthro/science, technology and society"
136,MIT,electrical engineering and computer science,39600,1.42,2017,1st,,"$39,600",,,,electrical engineering and computer science
137,Boston University,psychological and brain sciences,20000,0.7,2017,1st,It was an 8 month salary (Sept-April),,"$20,000",,,psychological and brain sciences
138,Northeastern University,bioengineering,32015,1.12,2017,1st,STARS Stipend,"$32,015",,,,bioengineering
139,Boston University,electrical and computer engineering department,25833,0.9,2017,1st,,"$33,990",,,"$8,157",electrical and computer engineering department
140,Boston University,bioengineering,33000,1.15,2017,1st,,"$33,000",,,,bioengineering
141,Northeastern University,economics,22000,0.77,2017,1st,,"$22,000",,,,economics
142,Tufts University,child study and human development,21000,0.75,2017,1st,,,"$21,000",,,child study and human development
143,MIT,,36000,1.29,2017,1st,,"$36,000",,,,
144,Harvard University,committee on the study of religion,33624,1.17,2017,1st,"Includes tuition,<br>health insurance,<br>one-time $2500 professional development stipend,<br>and various <span class=""truncated""> other subsidies.<br></span>","$33,624",,,,committee on the study of religion
145,Boston University,american and new england studies,22000,0.77,2017,1st,,,"$22,000",,,american and new england studies
146,Harvard University,psychology,33624,1.17,2017,1st,,"$33,624",,,,psychology
147,Tufts University,mechanical engineering,33400,1.2,2017,1st,Plus insurance is paid.<br>$28400 plus $5000 additional grant.,"$33,400",,,,mechanical engineering
148,Northeastern University,political science,21500,0.75,2017,1st,,"$21,500",,,,political science
149,Boston University,pharmacology and expeirmental therapeutics,32500,1.13,2017,2nd,,"$32,500",,,,pharmacology and expeirmental therapeutics
150,Harvard University,health policy (management),41000,1.43,2017,1st,,"$41,000",,,,health policy (management)
151,Tufts University,public health,25000,0.9,2017,1st,,"$25,000",,,,public health
152,Harvard University,government,33624,1.17,2017,1st,"Health insurance and all fees are covered,<br>one-time stipend of $2500 for professional development <span class=""truncated""> offered in addition to the $33.6k yearly stipend</span>","$33,624",,,,government
153,Harvard University,government (political science),33624,1.17,2017,1st,,"$33,624",,,,government (political science)
154,MIT,,36895,1.32,2017,1st,,"$37,000",,,$105,
155,MIT,linguistics,34034,1.22,2017,1st,"9 months of stipends + summer support.

the student life fee and the individual health insurance <span class=""truncated""> fee also offered.</span>",,"$27,846","$6,188",,linguistics
156,Harvard University,biological and biomedical science,37235,1.3,2017,5th,,"$37,260",,,$25,biological and biomedical science
157,Harvard University,sociology,34632,1.21,2017,1st,,,"$28,860","$5,772",,sociology
158,Harvard University,african american studies,34632,1.21,2017,1st,,,"$28,860","$5,772",,african american studies
159,Harvard University,biostatistics,36000,1.26,2017,1st,34632 yearly stipend + 1500 first year startup stipend,"$36,000",,,,biostatistics
160,Harvard University,psychology,33600,1.17,2017,2nd,,"$33,600",,,,psychology
161,Boston University,earth and environment,32000,1.12,2017,1st,,"$32,000",,,,earth and environment
162,Harvard University,neurobiology/program in neuroscience,37260,1.3,2017,6th and up,,"$37,260",,,,neurobiology/program in neuroscience
163,Harvard University,systems biology,37260,1.3,2017,6th and up,,"$37,260",,,,systems biology
164,Harvard University,biology,37225,1.3,2017,,"Plus full tuition coverage,<br>and health insurance,<br>but dental insurance costs costs extra,<br>and no <span class=""truncated""> vision coverage is offered.</span>","$37,250",,,$25,biology
165,Boston University,anthropology,22660,,2017,1st,"It&#39;s for 8 months,<br>not 9.<br>Full tuition waiver and fees,<br>insurance included.",,"$22,660",,,anthropology
166,MIT,urban studies and planning,37680,1.35,2017,1st,,"$37,680",,,,urban studies and planning
167,Tufts University,english,23000,0.82,2017,1st,,"$23,000",,,,english
168,Harvard University,romance languages and literatures,33000,1.15,2017,1st,28000 for the academic year + 5000 for the summer,"$33,000",,,,romance languages and literatures
169,Northeastern University,english phd,20680,0.72,2018,4th,,,"$21,000",,$320,english phd
170,Northeastern University,english,21300,0.74,2018,2nd,"health insurance with a $200 deductible; sometimes costlier fees; some opportunities for summer <span class=""truncated""> work; some accepted students negotiated for additional compensation and guaranteed summer funding; tuition is covered</span>",,"$21,500",,$200,english
171,MIT,brain and cognitive sciences,40051,1.43,2018,3rd,,"$40,391",,,$340,brain and cognitive sciences
172,Northeastern University,computer science,33265,1.16,2018,1st,"Health care fees waived,<br>using parent&#39;s health insurance.<br>Would not have been able to afford <span class=""truncated""> upfront apartment rental costs without financial help from parents.</span>","$33,547",,,$282,computer science
173,Northeastern University,electrical and computer engineering,33007,1.15,2018,2nd,after taxes and covering health insurance,"$33,207",,,$200,electrical and computer engineering
174,MIT,media arts and sciences,38484,1.38,2018,3rd,"12 month total if working all year as an RA.<br>paid per semester.<br>good health insurance included,<br><span class=""truncated""> although not for dependents or partners.<br></span>","$38,484",,,,media arts and sciences
175,Northeastern University,sociology,25500,0.89,2018,2nd,,,"$22,500","$3,500",$500,sociology
176,Boston University,english,25000,0.87,2018,4th,,"$25,000",,,,english
177,MIT,oceanography,38144,1.37,2018,1st,,"$38,144",,,,oceanography
178,Boston University,anthropology,25500,0.89,2018,1st,,,"$22,500","$3,000",,anthropology
179,Northeastern University,sociology,24050,0.84,2018,1st,,"$24,500",,,$450,sociology
180,MIT,urban studies and planning,24500,0.88,2018,2nd,,,"$28,000",,"$3,500",urban studies and planning
181,MIT,brain and cognitive science,38242,1.37,2018,1st,stipend covers full 12 months.<br>tuition and self health insurance covered.,"$38,242",,,,brain and cognitive science
182,Boston University,earth and environment,33000,1.15,2018,2nd,In Boston this salary means you are living with roommates.<br>,"$33,000",,,,earth and environment
183,MIT,chemistry,39056,1.4,2018,3rd,,"$39,396",,,$340,chemistry
184,Harvard University,biological and biomedical studies,39000,1.36,2018,1st,,"$39,500",,,$500,biological and biomedical studies
185,Harvard University,biological and biomedical studies,39000,1.36,2018,1st,,"$39,500",,,$500,biological and biomedical studies
186,Harvard University,linguistics,33000,1.15,2018,,,"$33,000",,,,linguistics
187,Boston University,bioinformatics,33000,1.15,2018,5th,,"$33,000",,,,bioinformatics
188,MIT,biology,39070,1.4,2018,3rd,,"$39,410",,,$340,biology
189,Tufts University,psychology,24000,0.86,2018,5th,,,"$24,000",,,psychology
190,MIT,health sciences and technology,42000,1.5,2018,1st,,"$42,000",,,,health sciences and technology
191,Harvard University,neurobiology,39528,1.38,2018,6th and up,"no teaching requirement,<br>paid tuition","$39,528",,,,neurobiology
192,MIT,computer science,60000,2.15,2018,3rd,,"$100,000",,,"$40,000",computer science
193,Boston University,religion,22650,0.79,2018,2nd,,,"$22,650",,,religion
194,Harvard University,astrophysics,37932,1.32,2018,4th,,"$37,932",,,,astrophysics
195,MIT,"earth, atmospheric and planetary sciences",39000,1.4,2018,1st,Insurance is covered,"$39,000",,,,"earth, atmospheric and planetary sciences"
196,Harvard University,science and art,42000,1.47,2018,1st,,"$42,000",,,,science and art
197,Northeastern University,econ,22100,0.77,2018,2nd,,,"$22,500",,$400,econ
198,Boston University,psychology,33000,1.15,2018,3rd,"Healthcare would be 2k,<br>but I’m on my parents’ right now.<br>","$33,000",,,,psychology
199,Harvard University,finance,95000,3.32,2018,2nd,,"$100,000",,,"$5,000",finance
200,MIT,idss/social and engineering systems,42700,1.53,2018,3rd,,"$43,000",,,$300,idss/social and engineering systems
201,Harvard University,bioinformatics and integrative genomics,37253,1.3,2018,6th and up,"This was the stipend for a PhD student in BIG at Harvard.<br>Monthly paycheck was $3198.<br>Taxes were <span class=""truncated""> not withheld,<br>which means that the student must manually calculate the taxes owed to the state and to the federal government.<br>The student must make quarterly payments to the IRS to avoid a penalty at the end of the year.<br>Harvard does not provide official guidance on calculating the right number.

At the time,<br>Harvard offered subsidized housing options for $1,200 per month or so,<br>leaving $2,000 for other expenses.

Year Gross Raise
6 $37,353 1.016
5 $36,765 1.028
4 $35,741 1.030
3 $34,695 1.030
2 $33,684 0.999
1 $33,698 NA</span>","$37,353",,,$100,bioinformatics and integrative genomics
202,Harvard University,biological sciences in public health,39840,1.39,2018,3rd,,"$39,840",,,,biological sciences in public health
