,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
389,Tufts University,computer science,30000,1.07,2020,1st,,,"$30,000",,,computer science
390,Boston University,english,29500,1.03,2020,6th and up,"24,500 for term,<br>and 5,000 for summer,<br>guaranteed for 5 years,<br>no service in first or fifth years.<br> <span class=""truncated""> Almost always possible for a 6th,<br>and many get a 7th funded year.<br></span>",,"$24,500","$5,000",,english
391,MIT,sloan,45000,1.61,2020,1st,,"$45,000",,,,sloan
392,MIT,urban studies and planning,33000,1.18,2020,1st,,,"$33,000",,,urban studies and planning
393,Harvard University,biological sciences in public health,40560,1.42,2020,1st,Gross Pay is before Taxes.<br>so After taxes roughly 2918 per month,"$40,560",,,,biological sciences in public health
394,Harvard University,math,26000,0.91,2020,,,"$30,000",,,"$4,000",math
395,Boston University,chemistry,36000,1.26,2020,1st,,"$36,000",,,,chemistry
396,MIT,political science,36500,1.31,2020,1st,"Students are guaranteed a summer RAship for their first summer,<br>but have to arrange their own <span class=""truncated""> RAships/outside funding for subsequent summers.<br>Health insurance is included.</span>",,"$30,000","$6,500",,political science
397,MIT,department of urban studies and planning,40560,1.45,2020,2nd,"In Fall 2020,<br>dept transitioned from 9-month stipend to 12-month stipend with a 5-year funding <span class=""truncated""> guarantee.<br>MIT waived $370 activity fee in 2020-21 only.<br></span>","$40,560",,,,department of urban studies and planning
398,Boston University,mathematics,36782,1.28,2020,1st,,"$36,782",,,,mathematics
399,Boston University,bioinformatics,39474,1.38,2020,4th,,"$39,474",,,,bioinformatics
400,Northeastern University,chemical engineering,34800,1.21,2020,1st,,"$34,800",,,,chemical engineering
401,Northeastern University,computer,39200,1.37,2020,1st,,"$40,000",,,$800,computer
402,Tufts University,biology/phd,33970,1.22,2020,2nd,"have basic healthcare included without extra cost and access to student health center for basic <span class=""truncated""> needs</span>","$34,000",,,$30,biology/phd
403,Harvard University,,37000,1.29,2020,1st,,"$37,000",,,,
404,Harvard University,statistics,36650,1.28,2020,2nd,,"$36,675",,,$25,statistics
405,MIT,management,47000,1.68,2020,,,"$47,000",,,,management
406,Harvard University,,32500,1.13,2020,1st,,,"$32,500",,,
407,Boston University,epidemiology,36000,1.26,2020,,,"$36,000",,,,epidemiology
408,Harvard University,biological and biomedical sciences,40000,1.4,2020,4th,,"$40,000",,,,biological and biomedical sciences
409,Tufts University,neuroscience,52704,1.89,2020,1st,,"$52,704",,,,neuroscience
410,Northeastern University,civil and environmental engineering,35220,1.23,2020,1st,"Student fees are $130 per semester,<br>health fees are $225 per annum.","$35,220",,,,civil and environmental engineering
411,Boston University,chemistry,35000,1.22,2020,,,"$35,000",,,,chemistry
412,UMass Boston,molecular biology,23500,0.82,2020,2nd,,,"$20,000","$6,500","$3,000",molecular biology
413,Harvard University,organizational behavior,43680,1.52,2021,2nd,,"$43,680",,,,organizational behavior
414,Harvard University,health policy,32088,1.12,2021,5th,"We receive a stipend years 1,<br>2 and 5 (or 6,<br>depending on when you defend your PhD).<br>No funding in <span class=""truncated""> years 3 and 4.<br>No teaching or RA top-ups,<br>no summer funding.<br></span>",,"$32,088",,,health policy
415,MIT,economics,39000,1.4,2021,1st,"On GRFP.<br>In years without GRFP,<br>receive 35,000.<br>Includes healthcare.<br>","$39,000",,,,economics
416,Harvard University,virology,40019,1.4,2021,4th,,"$40,044",,,$25,virology
417,Harvard University,government,36850,1.29,2021,1st,"I have additional fellowship awards which provide me with summer funding and a research time <span class=""truncated""> fellowship.<br></span>","$36,850",,,,government
418,Boston University,school of theology,24600,0.86,2021,1st,,,"$24,600",,,school of theology
419,MIT,civil and environmental engineering,42820,1.53,2021,3rd,,"$43,200",,,$380,civil and environmental engineering
420,Boston University,pibs,36782,1.28,2021,1st,,"$36,782",,,,pibs
421,Tufts University,electrical and computer engineering,34800,1.25,2021,1st,"12 month RA position.<br>Tuition,<br>fees,<br> and basic health insurance covered.","$34,800",,,,electrical and computer engineering
422,Boston University,anthropology,29521,1.03,2021,1st,"Funding for 8 months of academic year and an additional 2 months in the Summer.<br>Dean&#39;s fellowship <span class=""truncated""> for first year.</span>","$29,521",,,,anthropology
423,Boston University,philosophy,29521,1.03,2021,1st,,"$29,521",,,,philosophy
424,Boston University,philosophy,29521,1.03,2021,1st,,"$29,521",,,,philosophy
425,Harvard University,business administration,42660,1.49,2021,,,"$42,660",,,,business administration
426,Harvard University,mechanical engineering,25000,0.87,2021,,,"$25,000",,,,mechanical engineering
427,Northeastern University,computer science,39628,1.38,2021,4th,Includes candidacy pay.,"$40,000",,,$372,computer science
428,MIT,nse,43000,1.54,2021,5th,,"$43,000",,,,nse
429,Northeastern University,marine and environmental science,37400,1.31,2021,3rd,I don&#39;t pay the fees and nothing has ever happened whoops,"$37,900",,,$500,marine and environmental science
430,MIT,electrical engineering and computer science,47044,1.68,2021,5th,,"$47,412",,,$368,electrical engineering and computer science
431,MIT,hasts,43116,1.54,2021,,,"$43,116",,,,hasts
432,Boston University,business administration,36782,1.28,2021,1st,,"$36,782",,,,business administration
433,Northeastern University,psychology,39150,1.37,2021,1st,,"$39,150",,,,psychology
434,Boston University,systems engineering,36782,1.28,2021,1st,,"$36,782",,,,systems engineering
435,Tufts University,child study and human development,23000,0.82,2021,4th,,,"$23,000",,,child study and human development
436,MIT,brain and cognitive sciences,43913,1.57,2021,5th,,"$44,093",,,$180,brain and cognitive sciences
437,Boston University,pharmacology,36000,1.26,2021,,,"$36,000",,,,pharmacology
438,UMass Boston,sociology,23250,0.81,2021,1st,,,"$18,000","$9,000","$3,750",sociology
439,MIT,chemical engineering,44632,1.6,2021,1st,"Fellowship for first 9 months.<br>Extended insurance paid.<br>Laptop provided.<br>Required student activity <span class=""truncated""> fee ($368)<br>and optional dental insurance ($544.56).</span>","$45,000",,,$368,chemical engineering
440,Northeastern University,marine and environmental sciences,35906,1.25,2021,3rd,"I don’t pay any university fees,<br>but I pay $1,800/month in rent for a one-bedroom apartment in <span class=""truncated""> Boston,<br>and about another $80 for utilities.</span>","$35,906",,,,marine and environmental sciences
441,Boston University,religion,29500,1.03,2021,1st,"10 month stipend.<br>Health care covered.<br>
Service from 2nd year onwards.<br>",,"$23,600","$5,900",,religion
442,Tufts University,genetics,36000,1.29,2021,2nd,,"$36,000",,,,genetics
443,MIT,computational and systems biology,41488,1.49,2021,2nd,,"$41,856",,,$368,computational and systems biology
444,MIT,urban studies and planning,40700,1.46,2021,1st,,"$41,000",,,$300,urban studies and planning
445,Northeastern University,khoury college of computer sciences,40600,1.42,2021,4th,,"$43,000",,,"$2,400",khoury college of computer sciences
446,Tufts University,gsbs (boston campus),37380,1.34,2021,5th,,"$37,500",,,$120,gsbs (boston campus)
447,MIT,aero/astro,41856,1.5,2021,4th,,"$41,856",,,,aero/astro
448,MIT,linguistics,41760,1.5,2021,5th,"pre-tax,<br>12-months","$41,760",,,,linguistics
449,Northeastern University,political science,34250,1.2,2021,2nd,,"$34,500",,,$250,political science
450,MIT,management/phd,48324,1.73,2021,2nd,Fees exclude Tax,"$48,324",,,,management/phd
451,MIT,management/phd,48324,1.73,2021,1st,"Gross pay excludes TA/RA.<br>Fellowship only.
Fees exclude Tax.","$48,324",,,,management/phd
452,MIT,biology,42927,1.54,2021,2nd,Based on a 3592.64 monthly stipend as of Spring 2022 appointment.<br>Entry Fall 2020.<br>,"$43,111",,,$184,biology
453,Northeastern University,computer science,42750,1.49,2021,4th,,"$43,000",,,$250,computer science
454,MIT,economics,35816,1.28,2021,1st,,,"$36,000",,$184,economics
455,Boston University,biomedical engineering,36782,1.28,2021,1st,,"$36,782",,,,biomedical engineering
456,MIT,brain and cognitive sciences,43600,1.56,2021,6th and up,,"$44,000",,,$400,brain and cognitive sciences
457,MIT,linguistics,43111,1.54,2021,5th,"The department has been able to provide 6th-year fundings since the beginning of COVID (i.e.<br>for 3 <span class=""truncated""> cohorts so far),<br>though it&#39;s unclear how much longer this will last.</span>","$43,111",,,,linguistics
458,Boston University,graduate program for neuroscience,36782,1.28,2021,4th,Student fees are incorporated into students’ tuition scholarship,"$36,782",,,,graduate program for neuroscience
459,MIT,media lab,38872,1.39,2021,1st,,"$39,000",,,$128,media lab
460,MIT,economics,42000,1.5,2021,1st,,,"$37,000","$5,000",,economics
461,MIT,chemical engineering,45000,1.61,2021,3rd,,"$45,000",,,,chemical engineering
462,MIT,math,43200,1.55,2021,3rd,,"$43,200",,,,math
463,Northeastern University,psychology,41535,1.45,2022,1st,Base gross annual salary.<br>Teaching as Instructor of Record after Master&#39;s pays more,"$41,535",,,,psychology
464,Northeastern University,public policy,40000,1.4,2022,1st,,"$40,000",,,,public policy
465,Boston University,school of theology,25502,0.89,2022,1st,,,"$25,502",,,school of theology
466,MIT,physics,56000,2.01,2022,2nd,,"$105,000",,,"$49,000",physics
467,Tufts University,physics,36000,1.29,2022,2nd,,"$36,000",,,,physics
468,Northeastern University,mechanical and industrial engineering,40830,1.43,2022,1st,,"$41,330",,,$500,mechanical and industrial engineering
469,Harvard University,school of engineering and applied sciences,42800,1.49,2022,,,"$42,800",,,,school of engineering and applied sciences
470,Northeastern University,industrial engineering,42025,1.47,2022,3rd,,"$42,300",,,$275,industrial engineering
471,MIT,biology,45100,,2022,,,"$45,500",,,$400,biology
472,Boston University,materials science and engineering,40165,1.4,2022,3rd,"Role: Doctoral Research Fellow

Before Qualifying Exam: $38,253
After Qualifying Exam,<br>before <span class=""truncated""> Prospectus: $40,165
After Prospectus: $42,078

Basic Student Health Insurance is covered (through Aetna,<br>but everything requires a referral from student health services at BU),<br>you can upgrade to their plus plan for a little over $1000 a year.<br></span>","$40,165",,,,materials science and engineering
473,Northeastern University,,43320,1.51,2022,,,"$43,320",,,,
474,Northeastern University,interdisciplinary design and media,34600,1.21,2022,1st,,"$35,000",,,$400,interdisciplinary design and media
475,Boston University,linguistics,28000,0.98,2022,4th,,,"$25,500","$2,500",,linguistics
476,MIT,mit media lab,47436,1.7,2022,3rd,Income goes up from $39k to $47k after you enter the PhD.<br>All students have guaranteed RA funding.,"$47,436",,,,mit media lab
477,Boston University,material science and engineering,26520,0.93,2022,1st,,"$26,520",,,,material science and engineering
478,Tufts University,education,34000,1.22,2022,1st,,"$34,000",,,,education
479,Boston University,political science,25885,0.9,2022,,,"$25,885",,,,political science
480,MIT,chemical engineering,51300,1.84,2022,4th,"Students not on NSF GRFP fellowship have to pay a &#34;student life fee&#34; of $198 per fall and spring <span class=""truncated""> semester</span>","$51,300",,,,chemical engineering
481,Boston University,"brain, behavior, and cognition",40000,1.4,2022,1st,Have to TA (once per year I think?)<br>unless lab buys it out or you get a special award.<br>,"$40,000",,,,"brain, behavior, and cognition"
482,Harvard University,biomedical informatics,45696,1.6,2022,,,"$45,696",,,,biomedical informatics
483,Northeastern University,computer science,41500,1.45,2022,1st,,"$42,000",,,$500,computer science
484,Harvard University,immunology,22500,0.79,2022,3rd,,"$22,500",,,,immunology
485,Boston University,astronomy,38193,1.33,2022,2nd,,"$38,193",,,,astronomy
486,MIT,physics,46900,1.68,2022,1st,,"$46,900",,,,physics
487,Boston University,"speech, language, and hearing sciences",42078,1.47,2022,3rd,"Includes 10% raise over base stipend of $38,258 for securing external funding of at least $20,000","$42,078",,,,"speech, language, and hearing sciences"
488,Northeastern University,phd in computer science,41628,1.45,2022,1st,,"$42,128",,,$500,phd in computer science
489,Tufts University,physics,34000,1.22,2022,1st,,"$34,000",,,,physics
490,MIT,health sciences and technology,47600,1.7,2022,3rd,Approximate!,"$48,000",,,$400,health sciences and technology
491,Harvard University,physics,43850,1.53,2022,1st,,,"$36,550","$7,300",,physics
492,Tufts University,electrical and computer engineering (phd),36180,1.3,2022,2nd,12-month RA; includes health insurance,"$36,180",,,,electrical and computer engineering (phd)
493,Tufts University,electrical and computer engineering,44400,1.59,2022,1st,,"$44,400",,,,electrical and computer engineering
494,UMass Boston,psychology,23000,0.8,2022,,,"$24,000",,,"$1,000",psychology
495,Harvard University,kennedy school,20000,0.7,2022,1st,,"$20,000",,,,kennedy school
496,Northeastern University,mathematics,26875,0.94,2022,1st,GTA for 5 years,"$26,875",,,,mathematics
497,MIT,aeroastro,41856,1.5,2022,3rd,,"$41,856",,,,aeroastro
498,MIT,finance (sloan),50000,1.79,2022,1st,,"$50,000",,,,finance (sloan)
499,Boston University,philosophy,31000,1.08,2022,2nd,4% raise from last year.<br>Includes healthcare and tuition.<br>,,"$26,000","$5,000",,philosophy
500,MIT,biology,45506,1.63,2022,1st,,"$45,506",,,,biology
501,Boston University,school of music,25000,0.87,2022,2nd,,,"$25,000",,,school of music
502,MIT,chemistry,45000,1.61,2022,4th,,"$45,000",,,,chemistry
503,Northeastern University,college of engineering,35300,1.23,2022,1st,Additional one-time $350 international student fee,"$36,000",,,$700,college of engineering
504,Northeastern University,computer science,40495,1.41,2022,1st,$5k conference travel grant not included.<br>Student health insurance fully covered,"$41,120",,,$625,computer science
505,Northeastern University,population health,33000,1.15,2022,1st,,"$33,000",,,,population health
506,Northeastern University,population health,33000,1.15,2022,1st,,"$33,000",,,,population health
507,MIT,,41670,1.49,2022,6th and up,,"$41,856",,,$186,
508,Boston University,statistics,37702,1.32,2022,1st,,"$37,702",,,,statistics
509,Northeastern University,sociology,39000,1.36,2022,,,"$39,000",,,,sociology
510,Harvard University,history of science,38508,1.34,2022,1st,"5-year package,<br>including 2- year teaching fellowship.<br>Tuition and health fees paid in full,<br>valued <span class=""truncated""> at $57,840.</span>",,"$32,090","$6,418",,history of science
511,Harvard University,history of science,38508,1.34,2022,1st,,,"$32,090","$6,418",,history of science
512,Northeastern University,psychology,40323,1.41,2022,1st,,"$40,323",,,,psychology
513,Tufts University,computer science,31500,1.13,2022,1st,"TA,<br>full tuition,<br>healthcare,<br>can TA/RA in summer for extra",,"$31,500",,,computer science
514,Harvard University,bioengineering,42800,1.49,2022,1st,Graduate prize fellowship,"$42,800",,,,bioengineering
515,Boston University,computer science,37500,1.31,2022,4th,Dental insurance is not included,"$37,500",,,,computer science
516,MIT,mechanical engineering,11000,0.39,2022,6th and up,,"$53,000",,,"$42,000",mechanical engineering
517,Harvard University,virology,44376,1.55,2022,1st,,"$44,376",,,,virology
518,Tufts University,computer science,31500,1.13,2022,1st,,,"$31,500",,,computer science
519,Boston University,hrs,36832,1.29,2022,,,"$36,832",,,,hrs
520,Tufts University,computer science,42000,1.5,2022,3rd,,"$42,000",,,,computer science
521,Tufts University,history,30000,1.07,2022,1st,,,"$25,000","$12,000","$7,000",history
522,Northeastern University,counseling psychology,33000,1.15,2022,1st,tuition waiver and health insurance included,"$33,000",,,,counseling psychology
523,Harvard University,eps,41975,1.47,2022,3rd,,"$42,000",,,$25,eps
524,Boston University,electrical,37000,1.29,2022,1st,,"$37,000",,,,electrical
525,Northeastern University,mechanical engineering,39000,1.36,2022,1st,,"$40,000",,,"$1,000",mechanical engineering
526,Harvard University,statistics,33850,1.18,2022,1st,,"$33,850",,,,statistics
527,Tufts University,graduate school of biomedical sciences,39380,1.41,2022,6th and up,,"$39,500",,,$120,graduate school of biomedical sciences
528,Harvard University,environmental health,32090,1.12,2022,1st,,,"$32,090",,,environmental health
529,MIT,bioengineering,49500,1.77,2022,5th,,"$49,800",,,$300,bioengineering
530,Boston University,health services research,38203,1.33,2022,1st,,"$38,203",,,,health services research
531,Harvard University,education,38500,1.34,2022,5th,,"$38,500",,,,education
532,Boston University,philosophy (phd),30132,1.05,2022,1st,"Covers full tuition,<br>fees,<br>and medical insurance ",,"$25,132","$5,000",,philosophy (phd)
533,Northeastern University,mechanical and industrial engineering,40240,1.4,2022,4th,,"$40,240",,,,mechanical and industrial engineering
534,Northeastern University,computer engineering,40144,1.4,2022,1st,health insurance is covered separately,"$40,144",,,,computer engineering
535,MIT,mechanical engineering,45480,1.63,2022,1st,,"$45,480",,,,mechanical engineering
536,Harvard University,earth and planetary sciences,43860,1.53,2023,,,"$43,860",,,,earth and planetary sciences
537,MIT,orc,35000,1.25,2023,1st,,,"$35,000",,,orc
538,Boston University,history,32318,1.13,2023,2nd,,,"$27,318","$5,000",,history
539,Northeastern University,electrical and computer engineering,42255,1.48,2023,1st,"Tuition scholarship up to $25,000 per term,<br>and funding to cover the cost of Northeastern&#39;s Student <span class=""truncated""> Health Insurance Plan (NUSHP)<br>- $2500 </span>","$42,255",,,,electrical and computer engineering
540,Harvard University,neuroscience,49596,1.73,2023,1st,"Base pay: $45,696
Fellowship bonus: $3900
Free health insurance
No teaching requirement","$49,596",,,,neuroscience
541,Tufts University,electrical and computer engineering,44000,1.58,2023,1st,,"$44,000",,,,electrical and computer engineering
542,Tufts University,electrical and computer engineering (phd),37620,1.35,2023,3rd,12-month RA; includes health insurance,"$37,620",,,,electrical and computer engineering (phd)
543,Boston University,electrical and computer engineering,40500,1.41,2023,1st,"Fellowship for first year.<br>If passed the PhD qualifying exam then fellowship will raise by 10% to <span class=""truncated""> $45,000 from 2nd year.</span>","$40,500",,,,electrical and computer engineering
544,Northeastern University,interdisciplinary design and media,39600,1.38,2023,2nd,,"$40,000",,,$400,interdisciplinary design and media
545,Tufts University,nutrition,31000,1.11,2023,3rd,,"$31,000",,,,nutrition
546,Harvard University,gsas,42815,1.49,2023,1st,,"$42,840",,,$25,gsas
547,MIT,political science,42694,1.53,2023,4th,,"$43,294",,,$600,political science
548,Northeastern University,political science,39500,1.38,2023,1st,"$25,000 tuition scholarship and the $40,000 includes 5 years of guaranteed summer work.<br>","$40,000",,,$500,political science
549,Harvard University,east asian languages and civilizations,42840,1.5,2023,1st,,,"$35,700","$7,140",,east asian languages and civilizations
550,Northeastern University,computer science,50000,1.75,2023,1st,,"$50,000",,,,computer science
551,Boston University,religion,30500,,2023,1st,,"$30,500",,,,religion
552,Harvard University,sociology phd,42840,1.5,2023,1st,,"$42,840",,,,sociology phd
553,Boston University,biomedical engineering,39780,1.39,2023,1st,"Distinguished fellowship.<br>Stipend is increased to $43,758 after quals","$39,780",,,,biomedical engineering
554,Tufts University,neuroscience,41000,1.47,2023,1st,,"$41,000",,,,neuroscience
555,Northeastern University,criminology,25500,0.89,2023,1st,,"$26,000",,,$500,criminology
556,Northeastern University,khoury,50000,1.75,2023,1st,,"$50,000",,,,khoury
557,Northeastern University,health sciences,38000,1.33,2023,,,"$40,000",,,"$2,000",health sciences
558,MIT,sloan,53508,1.92,2023,1st,"First two years do not require a TA/RA for funding,<br>last three years requires one term of TA/RA per <span class=""truncated""> year</span>","$53,508",,,,sloan
559,Harvard University,south asian studies,42840,1.5,2023,1st,,"$42,840",,,,south asian studies
560,Harvard University,health policy,42840,1.5,2023,1st,,,"$35,700","$7,140",,health policy
561,MIT,sloan school of management,56000,2.01,2023,1st,,"$56,000",,,,sloan school of management
562,Boston University,college of engineering,39780,1.39,2023,1st,Distinguished Fellowship,"$39,780",,,,college of engineering
563,Harvard University,public policy,42840,1.5,2023,1st,First year stipend with no teaching obligations.<br>Tuition and health fees covered in full.<br>,"$42,840",,,,public policy
564,Boston University,chemistry,37753,1.32,2023,1st,,"$38,253",,,$500,chemistry
565,Harvard University,business,47000,1.64,2023,1st,,"$47,000",,,,business
566,Harvard University,applied mathematics,43860,1.53,2023,2nd,,"$43,860",,,,applied mathematics
567,Tufts University,computer science,35000,1.25,2024,1st,,,"$35,000",,,computer science
568,Harvard University,history,50000,1.75,2024,1st,,"$50,000",,,,history
569,Boston University,counselling,41000,1.43,2024,1st,,"$41,000",,,,counselling
570,Harvard University,curriculum and pedagogy,48000,1.68,2024,5th,,"$50,000",,,"$2,000",curriculum and pedagogy
571,Harvard University,,50000,1.75,2024,,,"$50,000",,,,
572,Harvard University,astronomy,51000,1.78,2024,1st,full health insurance covered,"$51,000",,,,astronomy
573,MIT,sloan school of management,55848,2,2024,1st,,"$55,848",,,,sloan school of management
574,Boston University,physics,41000,1.43,2024,1st,,"$41,000",,,,physics
575,Harvard University,business economics,42000,1.47,2024,1st,,"$42,000",,,,business economics
576,Boston University,history of art and architecture,20000,0.7,2024,1st,,"$20,000",,,,history of art and architecture
577,MIT,finance,56000,2.01,2024,,,"$56,000",,,,finance
578,MIT,aero,40000,1.43,2024,1st,,"$40,000",,,,aero
579,Northeastern University,,43050,1.5,2024,1st,,"$43,050",,,,
580,MIT,chemistry,37206,1.33,2024,1st,,,"$37,206",,,chemistry
581,UMass Boston,computer science,17000,0.59,2025,1st,,"$20,000",,,"$3,000",computer science
582,Harvard University,mathematics,51500,,2025,2nd,,"$51,500",,,,mathematics
583,Harvard University,government,50000,,2025,2nd,,"$50,000",,,,government
584,Harvard University,public policy,51500,,2025,,,"$51,500",,,,public policy
585,Harvard University,history of science,51500,,2025,1st,,"$51,500",,,,history of science
586,Harvard University,human evolutionary biology,51500,,2025,1st,"Full coverage of tuition ($57,328) and health insurance ($6,108).","$51,500",,,,human evolutionary biology
587,Harvard University,history,51500,,2025,1st,"Monthly stipend (before taxes) comes out to 4,205. A lump sum of 1,040 is given once in September to offset dental insurance and commute transportation costs for the year.","$51,500",,,,history
588,Northeastern University,bioengineering,43400,,2025,1st,,"$43,400",,,,bioengineering
589,Northeastern University,biology,42073,,2025,1st,"package includes Northeastern’s Student Health Insurance Plan. Fees not certain yet, at least  several hundred for university activities and enrollment. Extra fee for internationals.","$42,073",,,,biology
590,MIT,biology,50752,,2025,6th and up,Health insurance included. Dental insurance is like $10/month,"$50,752",,,,biology
591,MIT,aeroastro,47000,,2025,1st,,"$47,000",,,,aeroastro
592,MIT,psychology,30000,,2025,6th and up,,"$30,000",,,,psychology
593,MIT,political science,51000,,2025,1st,,"$51,000",,,,political science
594,Boston University,electrical engineering,48750,,2025,3rd,,"$48,750",,,,electrical engineering
595,Boston University,bioinformatics,46350,,2025,,,"$46,350",,,,bioinformatics
596,Boston University,business,45000,,2025,1st,,"$45,000",,,,business
597,UMass Boston,computer science,17000,,2025,1st,,"$17,000",,,,computer science
598,Tufts University,electrical and computer engineering,48500,,2025,3rd,,"$48,500",,,,electrical and computer engineering
599,Tufts University,biomedical engineering,44667,,2025,,,"$44,667",,,,biomedical engineering